info,Type,Type2,Rb,Sr,Y,Zr,Nb
dhrl83-b-3441,Biface,Biface,17.66666667,278.6666667,30.33333333,110.3333333,3.333333333
dhrl83-b-3442,Biface,Biface,1.333333333,109,17.66666667,106.3333333,7.333333333
dhrl83-b-3445,Biface,ProjectilePoint,123.3333333,425.3333333,8.666666667,187.6666667,9.333333333
dhrl83-b-3447,Biface,Biface,4.666666667,153,16.33333333,101,7
dhrl83-b-3449,Biface,Biface,20.66666667,333,35.33333333,132.6666667,4
dhrl83-b-3451,Biface,Biface,20.33333333,168.3333333,18.66666667,118.6666667,7
dhrl83-b-3455,Biface,Biface,13,153.3333333,19.33333333,113.6666667,7.333333333
dhrl83-b-552,Biface,Biface,8.333333333,130.3333333,17.33333333,99.33333333,7.333333333
dhrl83-b-553,Biface,Biface,6.8,7.6,17.4,3.6,2
dhrl83-b-555,Biface,Biface,15.33333333,378.3333333,35,143,2
dhrl83-b-556,Biface,Biface,67.66666667,455,20.66666667,175,10.66666667
dhrl83-b-558,Biface,Biface,35,439.6666667,43.33333333,199.3333333,8
dhrl83-b-562,Biface,ProjectilePoint,19.33333333,316,30.33333333,128,6.333333333
